loss,key,optimizer,epoch,dense,neuron,score
mean_squared_error,1,Adagrad,40,3,128,-0.3142589563477174
mean_squared_error,1,Adagrad,40,4,64,-2.2132563408841643
mean_squared_error,1,Adagrad,40,4,128,0.30887777831120367
mean_squared_error,1,Adagrad,40,5,64,-0.09506383614090419
mean_squared_error,1,Adagrad,40,5,128,0.48219555069161535
mean_squared_error,1,Adagrad,40,6,64,-2.530526154731873
mean_squared_error,1,Adagrad,40,6,128,0.3961828081155483
mean_squared_error,1,Adagrad,50,3,64,-1.4223520092946798
mean_squared_error,1,Adagrad,50,3,128,-0.21342544127532426
mean_squared_error,1,Adagrad,50,4,64,-0.3694573291605141
mean_squared_error,1,Adagrad,50,4,128,0.28444347576599516
mean_squared_error,1,Adagrad,50,5,64,-0.5170674306726999
mean_squared_error,1,Adagrad,50,5,128,0.5508403198811564
mean_squared_error,1,Adagrad,50,6,64,-1.7393333824286787
mean_squared_error,1,Adagrad,50,6,128,0.6501120678385259
mean_squared_error,1,Adagrad,60,3,64,-2.5721788089695274
mean_squared_error,1,Adagrad,60,3,128,0.3470367067801049
mean_squared_error,1,Adagrad,60,4,64,-1.154361124282559
mean_squared_error,1,Adagrad,60,4,128,0.5495398854488897
mean_squared_error,1,Adagrad,60,5,64,0.16437519667984168
mean_squared_error,1,Adagrad,60,5,128,0.572163696932525
mean_squared_error,1,Adagrad,60,6,64,-0.2372374577633003
mean_squared_error,1,Adagrad,60,6,128,0.5269187065675418
mean_squared_error,1,Adamax,30,3,64,-0.809260406582454
mean_squared_error,1,Adamax,30,3,128,-0.036010741281042424
mean_squared_error,1,Adamax,30,4,64,0.0002992823537988354
mean_squared_error,1,Adamax,30,4,128,0.5293132411354772
mean_squared_error,1,Adamax,30,5,64,-0.2581765115132537
mean_squared_error,1,Adamax,30,5,128,0.6107375679256599
mean_squared_error,1,Adamax,30,6,64,-2.1673803848908504
mean_squared_error,1,Adamax,30,6,128,0.5319356046993386
mean_squared_error,1,Adamax,40,3,64,-0.04024974661249625
mean_squared_error,1,Adamax,40,3,128,-0.296263250048987
mean_squared_error,1,Adamax,40,4,64,0.44290941195349376
mean_squared_error,1,Adamax,40,4,128,0.6169141714277668
mean_squared_error,1,Adamax,40,5,64,-0.3126425229034311
mean_squared_error,1,Adamax,40,5,128,0.6608055761281614
mean_squared_error,1,Adamax,40,6,64,0.4629199445163976
mean_squared_error,1,Adamax,40,6,128,0.8280698988861452
mean_squared_error,1,Adamax,50,3,64,0.45309193990385754
mean_squared_error,1,Adamax,50,3,128,0.4779793381599977
mean_squared_error,1,Adamax,50,4,64,-0.33712255967787885
mean_squared_error,1,Adamax,50,4,128,0.7692002999951286
mean_squared_error,1,Adamax,50,5,64,0.5949963608114186
mean_squared_error,1,Adamax,50,5,128,0.6507636791870162
mean_squared_error,1,Adamax,50,6,64,0.5674561902705684
mean_squared_error,1,Adamax,50,6,128,0.859877252762943
mean_squared_error,1,Adamax,60,3,64,0.4567262206604924
mean_squared_error,1,Adamax,60,3,128,0.5347032847413569
mean_squared_error,1,Adamax,60,4,64,0.5824898420993931
mean_squared_error,1,Adamax,60,4,128,0.7031902322440887
mean_squared_error,1,Adamax,60,5,64,0.8096385921796784
mean_squared_error,1,Adamax,60,5,128,0.7330295191576301
mean_squared_error,1,Adamax,60,6,64,0.6384899022515914
mean_squared_error,1,Adamax,60,6,128,0.8221463813102499
mean_squared_error,1,Nadam,30,3,64,0.22605743329246553
mean_squared_error,1,Nadam,30,3,128,0.6324609886806531
mean_squared_error,1,Nadam,30,4,64,0.5109823266268934
mean_squared_error,1,Nadam,30,4,128,0.7879889634282333
mean_squared_error,1,Nadam,30,5,64,0.7648300514873663
mean_squared_error,1,Nadam,30,5,128,0.8410965938248236
mean_squared_error,1,Nadam,30,6,64,0.7321002617005591
mean_squared_error,1,Nadam,30,6,128,0.8718981145639024
mean_squared_error,1,Nadam,40,3,64,0.6049884041865772
mean_squared_error,1,Nadam,40,3,128,0.5952730543508862
mean_squared_error,1,Nadam,40,4,64,0.5074049727879448
mean_squared_error,1,Nadam,40,4,128,0.8459253265657772
mean_squared_error,1,Nadam,40,5,64,0.7437487215481121
mean_squared_error,1,Nadam,40,5,128,0.8965997271855665
mean_squared_error,1,Nadam,40,6,64,0.7572881934885352
mean_squared_error,1,Nadam,40,6,128,0.7800719479726447
mean_squared_error,1,Nadam,50,3,64,0.5406136242021915
mean_squared_error,1,Nadam,50,3,128,0.7100943994513438
mean_squared_error,1,Nadam,50,4,64,0.6806494261166145
mean_squared_error,1,Nadam,50,4,128,0.8173782800318523
mean_squared_error,1,Nadam,50,5,64,0.9406085981212139
mean_squared_error,1,Nadam,50,5,128,0.8710652682093294
mean_squared_error,1,Nadam,50,6,64,0.927193887793256
mean_squared_error,1,Nadam,50,6,128,0.8528093981604561
mean_squared_error,1,Nadam,60,3,64,0.5616814564396219
mean_squared_error,1,Nadam,60,3,128,0.7655126271259634
mean_squared_error,1,Nadam,60,4,64,0.6867993682915796
mean_squared_error,1,Nadam,60,4,128,0.8283821252770649
mean_squared_error,1,Nadam,60,5,64,0.7459414155901732
mean_squared_error,1,Nadam,60,5,128,0.8899664830696068
mean_squared_error,1,Nadam,60,6,64,0.8682002446026418
mean_squared_error,1,Nadam,60,6,128,0.8508082680665958
mean_absolute_error,1,SGD,30,3,64,0.47206511050213396
mean_absolute_error,1,SGD,30,3,128,0.6172088090078347
mean_absolute_error,1,SGD,30,4,64,0.5440497013669197
mean_absolute_error,1,SGD,30,4,128,0.606631960144183
mean_absolute_error,1,SGD,30,5,64,0.41225933448451646
mean_absolute_error,1,SGD,30,5,128,0.6801659876386498
mean_absolute_error,1,SGD,30,6,64,0.5989071664847572
mean_absolute_error,1,SGD,30,6,128,0.47162541556725146
mean_absolute_error,1,SGD,40,3,64,0.44560110080693505
mean_absolute_error,1,SGD,40,3,128,0.5729620739681232
mean_absolute_error,1,SGD,40,4,64,0.7056174870717762
mean_absolute_error,1,SGD,40,4,128,0.6054170703540318
mean_absolute_error,1,SGD,40,5,64,0.7135890739945536
mean_absolute_error,1,SGD,40,5,128,0.5441473620887511
mean_absolute_error,1,SGD,40,6,64,0.5485110133965421
mean_absolute_error,1,SGD,40,6,128,0.6750370866440172
mean_absolute_error,1,SGD,50,3,64,0.5724563819430554
mean_absolute_error,1,SGD,50,3,128,0.4484720641714032
mean_absolute_error,1,SGD,50,4,64,0.6383693324474826
mean_absolute_error,1,SGD,50,4,128,0.6124864318542118
mean_absolute_error,1,SGD,50,5,64,0.6062923878869908
mean_absolute_error,1,SGD,50,5,128,0.7014045274749574
mean_absolute_error,1,SGD,50,6,64,0.600960589871925
mean_absolute_error,1,SGD,50,6,128,0.7364722037939897
mean_absolute_error,1,SGD,60,3,64,0.5044009731097805
mean_absolute_error,1,SGD,60,3,128,0.6618524434624516
mean_absolute_error,1,SGD,60,4,64,0.7054571344173086
mean_absolute_error,1,SGD,60,4,128,0.6521900881832317
mean_absolute_error,1,SGD,60,5,64,0.7305277628453039
mean_absolute_error,1,SGD,60,5,128,0.6200068857624613
mean_absolute_error,1,SGD,60,6,64,0.6847260678050715
mean_absolute_error,1,SGD,60,6,128,0.657445192890364
mean_absolute_error,1,RMSprop,30,3,64,0.49258401010084485
mean_absolute_error,1,RMSprop,30,3,128,0.5639991147583197
mean_absolute_error,1,RMSprop,30,4,64,0.6722403681558018
mean_absolute_error,1,RMSprop,30,4,128,0.778926576281147
mean_absolute_error,1,RMSprop,30,5,64,0.7526098966002656
mean_absolute_error,1,RMSprop,30,5,128,0.7187797504440185
mean_absolute_error,1,RMSprop,30,6,64,0.8195654464162689
mean_absolute_error,1,RMSprop,30,6,128,0.7284771508332595
mean_absolute_error,1,RMSprop,40,3,64,0.6546432829086545
mean_absolute_error,1,RMSprop,40,3,128,0.6270948244284571
mean_absolute_error,1,RMSprop,40,4,64,0.6016216438923503
mean_absolute_error,1,RMSprop,40,4,128,0.7546488136917204
mean_absolute_error,1,RMSprop,40,5,64,0.7263625487236672
mean_absolute_error,1,RMSprop,40,5,128,0.7925246272027525
mean_absolute_error,1,RMSprop,40,6,64,0.7625916124085587
mean_absolute_error,1,RMSprop,40,6,128,0.6635123546552438
mean_absolute_error,1,RMSprop,50,3,64,0.6893729734255531
mean_absolute_error,1,RMSprop,50,3,128,0.7304279773597053
mean_absolute_error,1,RMSprop,50,4,64,0.7794250854702262
mean_absolute_error,1,RMSprop,50,4,128,0.6740214796511015
mean_absolute_error,1,RMSprop,50,5,64,0.8676755099206652
mean_absolute_error,1,RMSprop,50,5,128,0.6959278690750192
mean_absolute_error,1,RMSprop,50,6,64,0.7173593543417596
mean_absolute_error,1,RMSprop,50,6,128,0.7685831330453783
mean_absolute_error,1,RMSprop,60,3,64,0.6942273065417449
mean_absolute_error,1,RMSprop,60,3,128,0.5996653466673767
mean_absolute_error,1,RMSprop,60,4,64,0.8101791927287164
mean_absolute_error,1,RMSprop,60,4,128,0.7337210062642917
mean_absolute_error,1,RMSprop,60,5,64,0.7587930445482763
mean_absolute_error,1,RMSprop,60,5,128,0.6668270367356355
mean_absolute_error,1,RMSprop,60,6,64,0.7834076300949104
mean_absolute_error,1,RMSprop,60,6,128,0.7319073966568543
mean_absolute_error,1,Adam,30,3,64,-0.30284841600545587
mean_absolute_error,1,Adam,30,3,128,0.48708420334444946
